FUND TYPE	FUND CODE	DEPARTMENT CODE	ORGANIZATION CODE	DIVISION CODE	SECTION CODE	SUBSECTION CODE	SCHEDULE	TITLE CODE	TITLE DESCRIPTION	FUND NAME	DEPARTMENT	DEPARTMENT NAME	DIVISION NAME	SECTION NAME	SUBSECTION NAME	BUDGETED UNIT	TOTAL BUDGETED UNITS	POSITION CONTROL	BUDGETED PAY RATE	TOTAL BUDGETED AMOUNT
Local	100	15	1010	2010	3030	0	1	9834	Legislative Research Analyst	CORPORATE FUND	CC	CITY COUNCIL	Committee on Finance	Information Services		Annual	1	1	66648	66648
Local	100	25	1005	2005	3005	0	3	311	Projects Administrator	CORPORATE FUND	CITY CLERK	CITY CLERK	City Clerk	Administration		Annual	1	1	87924	87924
Local	100	25	1005	2005	3005	0	3	315	Deputy City Clerk	CORPORATE FUND	CITY CLERK	CITY CLERK	City Clerk	Administration		Annual	1	1	122832	122832
Local	300	25	1005	2005	3025	0	BX	3092	Program Director	VEHICLE FUND	CITY CLERK	CITY CLERK	City Clerk	Issuance of Vehicle Licenses		Annual	1	1	106884	106884
Local	100	1	1005	2005	3015	0	1	9615	Press Secretary	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of the Press Secretary		Annual	1	1	177216	177216
Local	100	3	1005	2005	3015	0	1	9659	Deputy Inspector General	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Legal		Annual	1	1	126624	126624
Local	100	3	1005	2005	3020	0	1	15	Schedule Salary Adjustments	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	0	0	4355	4355
Local	300	25	1005	2005	3025	0	1	9684	Deputy Director	VEHICLE FUND	CITY CLERK	CITY CLERK	City Clerk	Issuance of Vehicle Licenses		Annual	2	1	87564	175128
Local	100	1	1005	2005	3005	0	1	9883	Assistant Administrative Secretary III	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Executive		Annual	1	1	60408	60408
Local	100	1	1005	2005	3005	0	1	9901	Mayor	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Executive		Annual	1	1	216210	216210
Local	100	1	1005	2005	3010	0	1	9617	Administrative Secretary	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	35904	35904
Local	100	1	1005	2005	3010	0	1	9617	Administrative Secretary	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	48744	48744
Local	100	1	1005	2005	3010	0	1	9617	Administrative Secretary	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	53844	53844
Local	100	1	1005	2005	3010	0	1	9617	Administrative Secretary	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	63480	63480
Local	100	1	1005	2005	3010	0	1	9617	Administrative Secretary	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	76512	76512
Local	100	1	1005	2005	3010	0	1	9637	Administrative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	53844	53844
Local	100	1	1005	2005	3010	0	1	9637	Administrative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	57648	57648
Local	100	1	1005	2005	3010	0	1	9637	Administrative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	62796	62796
Local	100	1	1005	2005	3010	0	1	9637	Administrative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	3	1	69684	209052
Local	100	1	1005	2005	3010	0	1	9637	Administrative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	118296	118296
Local	100	1	1005	2005	3010	0	1	9637	Administrative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	119520	119520
Local	100	1	1005	2005	3010	0	1	9639	Assistant to Mayor	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	85008	85008
Local	100	1	1005	2005	3010	0	1	9639	Assistant to Mayor	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	109260	109260
Local	100	1	1005	2005	3010	0	1	9639	Assistant to Mayor	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	113304	113304
Local	100	1	1005	2005	3010	0	1	9639	Assistant to Mayor	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	130176	130176
Local	100	1	1005	2005	3010	0	1	9876	Scheduler	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	38004	38004
Local	100	1	1005	2005	3010	0	1	9876	Scheduler	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	48744	48744
Local	100	1	1005	2005	3010	0	1	9881	Assistant Administrative Secretary I	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	41220	41220
Local	100	1	1005	2005	3010	0	1	9881	Assistant Administrative Secretary I	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	63480	63480
Local	100	1	1005	2005	3010	0	1	9882	Assistant Administrative Secretary II	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	43656	43656
Local	100	1	1005	2005	3010	0	1	9882	Assistant Administrative Secretary II	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	45240	45240
Local	100	1	1005	2005	3010	0	1	9882	Assistant Administrative Secretary II	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	49668	49668
Local	100	1	1005	2005	3010	0	1	9882	Assistant Administrative Secretary II	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	69684	69684
Local	100	1	1005	2005	3010	0	1	9882	Assistant Administrative Secretary II	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	83100	83100
Local	100	1	1005	2005	3010	0	1	9883	Assistant Administrative Secretary III	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	69684	69684
Local	100	1	1005	2005	3010	0	1	9883	Assistant Administrative Secretary III	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	72852	72852
Local	100	1	1005	2005	3010	0	1	9883	Assistant Administrative Secretary III	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	73752	73752
Local	100	1	1005	2005	3010	0	1	9889	First Deputy Chief of Staff	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	162228	162228
Local	100	1	1005	2005	3010	0	1	9891	Administrative Assistant - Office Administrator	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	105828	105828
Local	100	1	1005	2005	3010	0	1	9896	Chief Financial Officer	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	164952	164952
Local	100	1	1005	2005	3010	0	1	9898	Deputy Chief of Staff	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	2	1	113400	226800
Local	100	1	1005	2005	3010	0	1	9898	Deputy Chief of Staff	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	128760	128760
Local	100	1	1005	2005	3010	0	1	9899	Chief of Staff	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	177216	177216
Local	100	1	1005	2005	3015	0	1	740	Press Aide I	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of the Press Secretary		Annual	1	1	46692	46692
Local	100	1	1005	2005	3015	0	1	744	Press Aide II	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of the Press Secretary		Annual	1	1	24600	24600
Local	100	1	1005	2005	3015	0	1	9616	Assistant Press Secretary	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of the Press Secretary		Annual	1	1	73752	73752
Local	100	1	1005	2005	3015	0	1	9616	Assistant Press Secretary	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of the Press Secretary		Annual	1	1	83100	83100
Local	100	1	1005	2005	3015	0	1	9616	Assistant Press Secretary	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of the Press Secretary		Annual	1	1	83940	83940
Local	100	1	1005	2005	3015	0	1	9616	Assistant Press Secretary	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of the Press Secretary		Annual	1	1	86796	86796
Local	100	1	1005	2005	3015	0	1	9616	Assistant Press Secretary	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of the Press Secretary		Annual	1	1	101040	101040
Local	100	1	1005	2005	3015	0	1	9637	Administrative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of the Press Secretary		Annual	1	1	51312	51312
Local	100	1	1005	2005	3015	0	1	9637	Administrative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of the Press Secretary		Annual	1	1	105828	105828
Local	100	1	1005	2005	3015	0	1	9642	Deputy Press Secretary	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of the Press Secretary		Annual	1	1	121548	121548
Local	100	1	1005	2005	3015	0	1	9881	Assistant Administrative Secretary I	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of the Press Secretary		Annual	1	1	37572	37572
Local	100	1	1005	2005	3020	0	1	9637	Administrative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of Intergovernmental Affairs		Annual	1	1	59436	59436
Local	100	1	1005	2005	3020	0	1	9637	Administrative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of Intergovernmental Affairs		Annual	1	1	59808	59808
Local	100	1	1005	2005	3020	0	1	9637	Administrative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of Intergovernmental Affairs		Annual	2	1	63516	127032
Local	100	1	1005	2005	3020	0	1	9637	Administrative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of Intergovernmental Affairs		Annual	1	1	69684	69684
Local	100	1	1005	2005	3020	0	1	9637	Administrative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of Intergovernmental Affairs		Annual	1	1	109860	109860
Local	100	1	1005	2005	3020	0	1	9639	Assistant to Mayor	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of Intergovernmental Affairs		Annual	2	1	63516	127032
Local	100	1	1005	2005	3020	0	1	9639	Assistant to Mayor	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of Intergovernmental Affairs		Annual	1	1	115368	115368
Local	100	1	1005	2005	3020	0	1	9639	Assistant to Mayor	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of Intergovernmental Affairs		Annual	1	1	119928	119928
Local	100	1	1005	2005	3020	0	1	9639	Assistant to Mayor	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of Intergovernmental Affairs		Annual	1	1	145008	145008
Local	100	1	1005	2005	3020	0	1	9670	Director of Intergovernmental Affairs	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of Intergovernmental Affairs		Annual	1	1	158364	158364
Local	100	1	1005	2005	3020	0	1	9807	Legislative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of Intergovernmental Affairs		Annual	1	1	57084	57084
Local	100	1	1005	2005	3020	0	1	9807	Legislative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of Intergovernmental Affairs		Annual	1	1	80136	80136
Local	100	1	1005	2005	3020	0	1	9878	Assistant to the Director of Intergovernmental Affairs	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of Intergovernmental Affairs		Annual	1	1	115368	115368
Local	100	1	1005	2005	3020	0	1	9883	Assistant Administrative Secretary III	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of Intergovernmental Affairs		Annual	1	1	86796	86796
Local	100	1	1005	2005	3020	0	1	9892	Office Manager - Washington D.C.	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of Intergovernmental Affairs		Annual	1	1	59796	59796
Local	355	1	1005	2005	3040	0	1	9637	Administrative Assistant	SPECIAL EVENTS / MUNICIPAL HOTEL T/F	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of International Relations		Annual	1	1	57684	57684
Local	355	1	1005	2005	3040	0	1	9637	Administrative Assistant	SPECIAL EVENTS / MUNICIPAL HOTEL T/F	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of International Relations		Annual	1	1	73020	73020
Local	355	1	1005	2005	3040	0	1	9639	Assistant to Mayor	SPECIAL EVENTS / MUNICIPAL HOTEL T/F	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of International Relations		Annual	2	1	83940	167880
Local	355	1	1005	2005	3040	0	1	9639	Assistant to Mayor	SPECIAL EVENTS / MUNICIPAL HOTEL T/F	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of International Relations		Annual	1	1	97416	97416
Local	100	3	1005	2005	3005	0	1	9903	Inspector General	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Administration		Annual	1	1	161856	161856
Local	100	3	1005	2005	3010	0	1	15	Schedule Salary Adjustments	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Operations		Annual	0	0	2854	2854
Local	100	3	1005	2005	3010	0	3	123	Fiscal Administrator	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Operations		Annual	1	1	69684	69684
Local	100	3	1005	2005	3010	0	GY	616	Senior Programmer/Analyst - IGO	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Operations		Annual	1	1	63480	63480
Local	100	3	1005	2005	3010	0	3	629	Principal Programmer/Analyst	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Operations		Annual	1	1	83352	83352
Local	100	3	1005	2005	3010	0	BX	1304	Supervisor of Personnel Services	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Operations		Annual	1	1	63516	63516
Local	100	3	1005	2005	3015	0	BX	308	Staff Assistant	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Legal		Annual	1	1	57648	57648
Local	100	3	1005	2005	3015	0	3	1262	Assistant Inspector General	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Legal		Annual	1	1	97164	97164
Local	100	3	1005	2005	3020	0	BX	305	Assistant to the Director	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	80916	80916
Local	100	3	1005	2005	3020	0	BX	308	Staff Assistant	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	73752	73752
Local	100	3	1005	2005	3020	0	BX	309	Coordinator of Special Projects	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	80916	80916
Local	100	3	1005	2005	3020	0	BX	1254	Investigator Specialist	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	63516	63516
Local	100	3	1005	2005	3020	0	BX	1255	Investigator	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	2	1	52008	104016
Local	100	3	1005	2005	3020	0	BX	1256	Supervising Investigator	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	66564	66564
Local	100	3	1005	2005	3020	0	BX	1256	Supervising Investigator	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	73752	73752
Local	100	3	1005	2005	3020	0	BX	1256	Supervising Investigator	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	77280	77280
Local	100	3	1005	2005	3020	0	3	1261	Assistant Chief Investigator - IGO	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	2	1	76008	152016
Local	100	3	1005	2005	3020	0	3	1279	Assistant Director of Legal Investigation - IGO	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	115008	115008
Local	100	3	1005	2005	3020	0	1	1680	Director of Legal Investigation	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	126624	126624
Local	100	3	1005	2005	3026	0	3	152	Senior Auditor - IG	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Audit and Policy Review		Annual	1	1	74274	74274
Local	100	3	1005	2005	3026	0	3	152	Senior Auditor - IG	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Audit and Policy Review		Annual	2	1	76500	153000
Local	100	3	1005	2005	3026	0	3	153	Chief Auditor - IGO	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Audit and Policy Review		Annual	1	1	102552	102552
Local	100	3	1005	2005	3035	0	1	15	Schedule Salary Adjustments	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Hiring Compliance		Annual	0	0	264	264
Local	100	3	1005	2005	3035	0	3	1262	Assistant Inspector General	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Hiring Compliance		Annual	1	1	97164	97164
Local	100	3	1005	2005	3035	0	GY	1367	Assistant Compliance Officer	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Hiring Compliance		Annual	2	1	53844	107688
Local	100	3	1005	2005	3035	0	GY	1368	Associate Compliance Officer	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Hiring Compliance		Annual	1	1	63480	63480
Local	100	3	1005	2005	3035	0	GY	1368	Associate Compliance Officer	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Hiring Compliance		Annual	1	1	83100	83100
Local	100	3	1005	2005	3035	0	1	9659	Deputy Inspector General	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Hiring Compliance		Annual	1	1	110112	110112
Local	200	3	1005	2005	3215	0	3	1262	Assistant Inspector General	WATER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Legal		Annual	1	1	97164	97164
Local	200	3	1005	2005	3215	0	1	1264	Attorney - IGO	WATER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Legal		Annual	1	1	70008	70008
Local	200	3	1005	2005	3220	0	1	15	Schedule Salary Adjustments	WATER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	0	0	311	311
Local	200	3	1005	2005	3220	0	BX	1255	Investigator	WATER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	2	1	52008	104016
Local	200	3	1005	2005	3220	0	BX	1256	Supervising Investigator	WATER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	66564	66564
Local	200	3	1005	2005	3220	0	BX	1256	Supervising Investigator	WATER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	69684	69684
Local	200	3	1005	2005	3220	0	3	1261	Assistant Chief Investigator - IGO	WATER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	76008	76008
Local	200	3	1005	2005	3220	0	3	1270	Special Assistant - IGO	WATER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	2	1	69684	139368
Local	200	3	1005	2005	3220	0	3	1287	Computer Forensic Investigator	WATER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	85872	85872
Local	200	3	1005	2005	3220	0	3	1288	Forensic Audit Investigator	WATER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	71244	71244
Local	200	3	1005	2005	3220	0	1	9659	Deputy Inspector General	WATER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	115000	115000
Local	200	3	1005	2005	3226	0	3	1430	Policy Analyst	WATER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Audit And Policy Review		Annual	1	1	52500	52500
Local	314	3	1005	2005	3305	0	1	9665	First Deputy Inspector General	SEWER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Administration		Annual	1	1	134940	134940
Local	314	3	1005	2005	3310	0	1	15	Schedule Salary Adjustments	SEWER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Operations		Annual	0	0	853	853
Local	314	3	1005	2005	3310	0	BX	307	Administrative Assistant II - Excluded	SEWER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Operations		Annual	1	1	39360	39360
Local	314	3	1005	2005	3315	0	3	1262	Assistant Inspector General	SEWER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Legal		Annual	1	1	97164	97164
Local	314	3	1005	2005	3315	0	1	9659	Deputy Inspector General	SEWER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Legal		Annual	1	1	126624	126624
Local	314	3	1005	2005	3320	0	3	1261	Assistant Chief Investigator - IGO	SEWER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	76008	76008
Local	740	3	1005	2005	3705	0	1	9637	Administrative Assistant	O'HARE REVENUE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Administration		Annual	1	1	70164	70164
Local	740	3	1005	2005	3710	0	1	15	Schedule Salary Adjustments	O'HARE REVENUE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Operations		Annual	0	0	1043	1043
